In bed start,In bed Finish,Minutes in bed,Minutes asleep,Time to fall sleep,Number of sleep periods,Sleep 1 start,Sleep 1 finish,Sleep 2 start,Sleep 2 finish,Sleep 3 start,Sleep 3 finish,Sleep 4 start,Sleep 4 finish,Sleep 5 start,Sleep 5 finish,Sleep 6 start,Sleep 6 finish,Sleep 7 start,Sleep 7 finish
11-Jan-2021 04:08,11-Jan-2021 13:46,577.116666666667,549.0,5.12805546720823,4,11-Jan-2021 04:14,11-Jan-2021 05:13,11-Jan-2021 05:21,11-Jan-2021 05:28,11-Jan-2021 05:32,11-Jan-2021 12:05,11-Jan-2021 12:16,11-Jan-2021 13:46,,,,,,
12-Jan-2021 05:45,12-Jan-2021 14:35,530.507856067022,497.142762466272,0.883333333333333,6,12-Jan-2021 05:46,12-Jan-2021 08:53,12-Jan-2021 09:01,12-Jan-2021 09:16,12-Jan-2021 09:20,12-Jan-2021 09:23,12-Jan-2021 09:28,12-Jan-2021 09:59,12-Jan-2021 10:05,12-Jan-2021 10:10,12-Jan-2021 10:13,12-Jan-2021 14:31,,
13-Jan-2021 06:04,13-Jan-2021 12:15,370.65,358.883548317353,11.7664516826471,1,13-Jan-2021 06:16,13-Jan-2021 12:15,,,,,,,,,,,,
14-Jan-2021 04:21,14-Jan-2021 06:29,127.425303733349,29.0,98.4253037333488,1,14-Jan-2021 06:00,14-Jan-2021 06:29,,,,,,,,,,,,
14-Jan-2021 11:50,14-Jan-2021 14:31,161.0,0.0,0.0,0,,,,,,,,,,,,,,
16-Jan-2021 04:40,16-Jan-2021 12:44,483.175565312306,473.0,7.04353502988815,3,16-Jan-2021 04:47,16-Jan-2021 04:50,16-Jan-2021 04:51,16-Jan-2021 04:56,16-Jan-2021 04:58,16-Jan-2021 12:44,,,,,,,,
17-Jan-2021 04:26,17-Jan-2021 10:01,334.616666666667,331.4340277493,3.18263891736666,1,17-Jan-2021 04:29,17-Jan-2021 10:01,,,,,,,,,,,,
18-Jan-2021 02:41,18-Jan-2021 10:17,455.473679929972,450.5,3.47367992997169,2,18-Jan-2021 02:45,18-Jan-2021 03:54,18-Jan-2021 03:55,18-Jan-2021 10:17,,,,,,,,,,
19-Jan-2021 05:01,19-Jan-2021 09:04,243.0,0.0,0.0,0,,,,,,,,,,,,,,
20-Jan-2021 01:46,20-Jan-2021 10:45,539.0,120.28049201568,409.78049201568,3,20-Jan-2021 08:35,20-Jan-2021 08:39,20-Jan-2021 08:42,20-Jan-2021 09:38,20-Jan-2021 09:45,20-Jan-2021 10:45,,,,,,,,
21-Jan-2021 02:37,21-Jan-2021 11:09,511.08239638408,507.558444317182,0.0823963840802511,3,21-Jan-2021 02:38,21-Jan-2021 09:14,21-Jan-2021 09:14,21-Jan-2021 10:28,21-Jan-2021 10:31,21-Jan-2021 11:09,,,,,,,,
22-Jan-2021 03:59,22-Jan-2021 09:00,301.138464732965,229.378334017595,0.916666666666667,2,22-Jan-2021 04:00,22-Jan-2021 07:32,22-Jan-2021 07:37,22-Jan-2021 07:54,,,,,,,,,,
23-Jan-2021 03:15,23-Jan-2021 10:22,427.0,204.230266149839,222.769733850161,1,23-Jan-2021 06:57,23-Jan-2021 10:22,,,,,,,,,,,,
24-Jan-2021 03:20,24-Jan-2021 11:30,489.2,421.740137567123,5.45986243287722,2,24-Jan-2021 03:26,24-Jan-2021 09:48,24-Jan-2021 10:50,24-Jan-2021 11:30,,,,,,,,,,
25-Jan-2021 03:31,25-Jan-2021 12:20,528.583333333333,503.0,5.58333333333333,2,25-Jan-2021 03:37,25-Jan-2021 10:10,25-Jan-2021 10:30,25-Jan-2021 12:20,,,,,,,,,,
26-Jan-2021 02:21,26-Jan-2021 08:04,342.700751533111,313.0,17.6816431999207,2,26-Jan-2021 02:39,26-Jan-2021 05:52,26-Jan-2021 06:00,26-Jan-2021 08:00,,,,,,,,,,
27-Jan-2021 02:08,27-Jan-2021 10:31,502.172768765688,498.0,4.17276876568794,1,27-Jan-2021 02:13,27-Jan-2021 10:31,,,,,,,,,,,,
28-Jan-2021 02:49,28-Jan-2021 11:02,492.916666666667,476.096217616399,3.82044905026754,2,28-Jan-2021 02:52,28-Jan-2021 10:15,28-Jan-2021 10:28,28-Jan-2021 11:02,,,,,,,,,,
29-Jan-2021 03:19,29-Jan-2021 07:29,250.0,0.0,0.0,0,,,,,,,,,,,,,,
29-Jan-2021 08:58,29-Jan-2021 09:00,2.19427308241526,0.0,0.0,0,,,,,,,,,,,,,,
